D:\Application\Anaconda3\envs\torch\python.exe C:/Users/meiyan/Desktop/VirtualBackground/find_lr.py
0/1375, loss:0.2944, lr:1e-08
289/1375, loss:0.2660, lr:2.959870615949735e-07
290/1375, loss:0.2715, lr:2.9947711199679926e-07
291/1375, loss:0.2800, lr:3.030083143724365e-07
292/1375, loss:0.2737, lr:3.0658115395411785e-07
293/1375, loss:0.2746, lr:3.10196121695559e-07
294/1375, loss:0.2726, lr:3.13853714339422e-07
295/1375, loss:0.2827, lr:3.1755443448557384e-07
296/1375, loss:0.2721, lr:3.212987906601505e-07
297/1375, loss:0.2751, lr:3.2508729738543445e-07
298/1375, loss:0.2705, lr:3.2892047525055694e-07
299/1375, loss:0.2725, lr:3.327988509830333e-07
300/1375, loss:0.2687, lr:3.367229575211423e-07
301/1375, loss:0.2673, lr:3.4069333408715835e-07
302/1375, loss:0.2713, lr:3.447105262614478e-07
303/1375, loss:0.2697, lr:3.487750860574385e-07
304/1375, loss:0.2749, lr:3.5288757199747347e-07
305/1375, loss:0.2745, lr:3.5704854918955905e-07
306/1375, loss:0.2775, lr:3.612585894050179e-07
307/1375, loss:0.2725, lr:3.655182711570578e-07
308/1375, loss:0.2772, lr:3.698281797802664e-07
309/1375, loss:0.2737, lr:3.7418890751104414e-07
310/1375, loss:0.2729, lr:3.786010535689847e-07
311/1375, loss:0.2653, lr:3.830652242392156e-07
312/1375, loss:0.2593, lr:3.875820329557094e-07
313/1375, loss:0.2645, lr:3.921521003855774e-07
314/1375, loss:0.2583, lr:3.9677605451435733e-07
315/1375, loss:0.2785, lr:4.014545307323063e-07
316/1375, loss:0.2770, lr:4.061881719217118e-07
317/1375, loss:0.2798, lr:4.109776285452318e-07
318/1375, loss:0.2695, lr:4.158235587352765e-07
319/1375, loss:0.2735, lr:4.207266283844443e-07
320/1375, loss:0.2757, lr:4.25687511237024e-07
321/1375, loss:0.2763, lr:4.3070688898157546e-07
322/1375, loss:0.2854, lr:4.357854513446028e-07
323/1375, loss:0.2808, lr:4.4092389618533124e-07
324/1375, loss:0.2683, lr:4.4612292959160207e-07
325/1375, loss:0.2720, lr:4.51383265976898e-07
326/1375, loss:0.2749, lr:4.567056281785128e-07
327/1375, loss:0.2823, lr:4.620907475568782e-07
328/1375, loss:0.2817, lr:4.6753936409606226e-07
329/1375, loss:0.2677, lr:4.730522265054526e-07
330/1375, loss:0.2698, lr:4.786300923226386e-07
331/1375, loss:0.2672, lr:4.842737280175069e-07
332/1375, loss:0.2654, lr:4.899839090975635e-07
333/1375, loss:0.2696, lr:4.957614202144993e-07
334/1375, loss:0.2690, lr:5.016070552720106e-07
335/1375, loss:0.2667, lr:5.075216175348919e-07
336/1375, loss:0.2701, lr:5.135059197394144e-07
337/1375, loss:0.2749, lr:5.195607842050066e-07
338/1375, loss:0.2785, lr:5.256870429472516e-07
339/1375, loss:0.2654, lr:5.318855377922161e-07
340/1375, loss:0.2756, lr:5.381571204921289e-07
341/1375, loss:0.2793, lr:5.445026528424215e-07
342/1375, loss:0.2662, lr:5.509230068001506e-07
343/1375, loss:0.2781, lr:5.574190646038158e-07
